"Map","ID","Username","Date","Time","Quote","Hero","Game","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute","Map.Type"
"Lijiang Tower",620,"ItsSJ",2024-01-09,10:21:00,"N/A","Moira","Overwatch","Neogun","Josiad","Cute D.Va icon",2024,"Jan","Tue",10,"21","Control"
"Lijiang Tower",124,"Jaayy",2023-03-24,15:01:00,"""They might have caught me jerking off, but they aint ever gonna see me cumming""","Cassidy","Overwatch","N/A","Richard","Lijang tower",2023,"Mar","Fri",15,"01","Control"
"Malevento",359,"JF56",2023-11-02,06:10:00,"""sake!""","Hanzo","Overwatch","N/A","Seb","Custom game",2023,"Nov","Thu",6,"10","Other"
"Malevento",912,"JJiro",2024-06-09,08:38:00,"""John""","Genji","Overwatch","N/A","Seb","John Jay Queue DM Moira icon Endorsement 3 Moira main",2024,"Jun","Sun",8,"38","Other"
"Malevento",380,"GUILLOSSJ",2023-11-13,13:51:00,NA,"Sojourn","Overwatch","N/A","Seb","Deathmatch Malevento",2023,"Nov","Mon",13,"51","Other"
"Malevento",1158,"jpdubbbs",2024-09-19,15:16:00,"N/A","Cassidy","Overwatch","None","Richard","Endorsement level 3 private profile",2024,"Sep","Thu",15,"16","Other"
"Malevento",583,"Kotajay",2023-12-30,18:57:00,"N/A","Wrecking Ball","Overwatch","N/A","Seb","Queue DM",2023,"Dec","Sat",18,"57","Other"
"Malevento",858,"Jayar010",2024-04-29,18:23:00,"N/A","Sombra","Overwatch","Eldritch Nightmare","Seb","Queue DM Null Sector icon Endorsement 5 Hazardous Wasteland namecard private profile",2024,"Apr","Mon",18,"23","Other"
"Malevento",820,"Ajthesaiyan4",2024-04-02,04:24:00,"N/A","Sombra","Overwatch","Betrayer","Seb","Queue DM D.Va Silhouette icon Endorsement 1 Tracer - Tier 2 namecard private profile",2024,"Apr","Tue",4,"24","Other"
"Malevento",590,"hpj",2023-12-31,12:45:00,"N/A","Tracer","Overwatch","N/A","Seb","Queue DM",2023,"Dec","Sun",12,"45","Other"
"Malevento",813,"HughJLoad",2024-03-31,08:50:00,"N/A","N/A","Overwatch","Cosmic Being","Seb","Queue DM Matsuri icon Endorsement 3 Harbinger namecard Support main",2024,"Mar","Sun",8,"50","Other"
"Malevento",561,"NJA",2023-12-26,07:58:00,"N/A","Hanzo","Overwatch","Acolyte of Medusa","Seb","Queue DM",2023,"Dec","Tue",7,"58","Other"
"Malevento",394,"PEEJAY",2023-11-16,15:53:00,"""bet you've never had a pjbj before""","Reinhardt","Overwatch","N/A","Seb","Rein, deathmatch, Malevento",2023,"Nov","Thu",15,"53","Other"
"Malevento",406,"JAE",2023-11-20,15:10:00,"""아니요""","Sombra","Overwatch","N/A","Seb","Sombra, Deathmatch, Malevento",2023,"Nov","Mon",15,"10","Other"
"Malevento",542,"Jayleen",2023-12-20,16:38:00,"""i like your face x3""","Widowmaker","Overwatch","N/A","Seb","2nd 2024-01-04",2023,"Dec","Wed",16,"38","Other"
"Malevento",976,"DJWOLFHY",2024-07-08,17:02:00,"N/A","D.Va","Overwatch","Streetrunner","Seb","Queue DM Rat King icon Endorsement 5 Sky Centurion namecard private profile",2024,"Jul","Mon",17,"02","Other"
"Malevento",655,"Jaybrid",2024-01-17,03:43:00,"""i'm more of a dinosaur guy""","Tracer","Overwatch","Temptation","Seb","Queue DM Echo icon Endorsement 5 Onryō's Pets namecard private profile",2024,"Jan","Wed",3,"43","Other"
"Malevento",358,"JayDaBb",2023-11-02,05:52:00,"""twas smooth""","Lucio","Overwatch","N/A","Seb","Custom game",2023,"Nov","Thu",5,"52","Other"
"Malevento",999,"JRose",2024-07-22,17:37:00,"""GG""","Hanzo, Junkrat, Soldier: 76","Overwatch","Assassin","Seb","Queue DM Halloween Terror 2021 icon Endorsement 3 Moira - Tier 3 namecard Moira main, 2nd 2024-07-22",2024,"Jul","Mon",17,"37","Other"
"Malevento",536,"NYCMJ",2023-12-19,12:07:00,"""OWWWWWWWW""","Doomfist","Overwatch","N/A","Seb","",2023,"Dec","Tue",12,"07","Other"
"Malevento",419,"JAYEXE",2023-11-22,04:12:00,"""no ew""","Sombra","Overwatch","N/A","Seb","Deathmatch Malevento",2023,"Nov","Wed",4,"12","Other"
"Malevento",370,"JJONES25",2023-11-08,08:02:00,NA,"Genji","Overwatch","N/A","Seb","Deathmatch",2023,"Nov","Wed",8,"02","Other"
"Malevento",304,"AJ1",2023-10-08,07:29:00,NA,"Ana","Overwatch","N/A","Seb","Custom game",2023,"Oct","Sun",7,"29","Other"
"Malevento",575,"JJonahJamson",2023-12-29,06:21:00,"""in the flesh""","Kiriko","Overwatch","Barbarian","Seb","THE REAL J JONAH JAMESON IGNORE THE TYPO",2023,"Dec","Fri",6,"21","Other"
"Malevento",609,"jjassu",2024-01-04,17:09:00,"N/A","Lúcio","Overwatch","Knight","Seb","Queue DM added me haven't intereacted since",2024,"Jan","Thu",17,"09","Other"
"Malevento",130,"JSHINX",2023-03-27,15:36:00,NA,"Hanzo","Overwatch","N/A","Richard","Found in TDM",2023,"Mar","Mon",15,"36","Other"
"Malevento",796,"DJCamieCam",2024-03-23,12:28:00,"N/A","Doomfist","Overwatch","Assassin","Seb","Queue DM Questwatch Heart icon Endorsement 4 Slime Caves namecard private profile",2024,"Mar","Sat",12,"28","Other"
"Malevento",580,"Jay",2023-12-29,14:28:00,"N/A","Cassidy","Overwatch","Nomad","Seb","DM did not confirm if they were any of the previous Jays endorsement 5 Piggy icon Sky Centurion namecard private profile",2023,"Dec","Fri",14,"28","Other"
"Malevento",714,"JMCOD",2024-02-07,05:56:00,"N/A","N/A","Overwatch","Assassin","Seb","Queue DM Goldhardt icon Endorsement 3 Ramattra - Tier 1 namecard gold 2 Tank gold 1 Damage",2024,"Feb","Wed",5,"56","Other"
"Malevento",879,"pjmck",2024-05-20,11:23:00,"N/A","Doomfist","Overwatch","Monstrosity","Seb","Queue DM Echo Silhouette icon Endorsement 4 Mumen Rider - Soldier: 76 namecard private profile",2024,"May","Mon",11,"23","Other"
"Malevento",812,"JThomas420",2024-03-31,08:49:00,"N/A","Zenyatta","Overwatch","Bounty Hunter","Seb","Queue DM Galactic Emperor icon Endorsement 3 Support main",2024,"Mar","Sun",8,"49","Other"
"Malevento",410,"JSIZITIRN",2023-11-21,08:11:00,"""ass with sauce""","Hanzo","Overwatch","N/A","Seb","Deathmatch, Malevento, hanzo",2023,"Nov","Tue",8,"11","Other"
"Malevento",1150,"ZmjjKK",2024-09-16,17:03:00,"N/A","Soldier","Overwatch","None","Richard","Private profile, deathmatch",2024,"Sep","Mon",17,"03","Other"
"Malevento",534,"JayBomb",2023-12-19,11:42:00,"N/A","Ashe","Overwatch","World Eater","Seb","",2023,"Dec","Tue",11,"42","Other"
"Midtown",1116,"Jxrdunnttv",2024-09-10,11:54:00,"N/A","Widowmaker","Overwatch","None","Vixx","QP",2024,"Sep","Tue",11,"54","Hybrid"
"Midtown",913,"EchoCJ",2024-06-09,09:26:00,"""myname y""","Genji","Overwatch","N/A","Seb","QP High Jump icon Endorsement 3 Junkertown Ninja namecard private profile",2024,"Jun","Sun",9,"26","Hybrid"
"Midtown",191,"JCburglar",2023-05-25,15:27:00,"""plat 2""","N/A","Overwatch","N/A","Vixx","stated the lobby rank",2023,"May","Thu",15,"27","Hybrid"
"Midtown",324,"Jay",2023-10-17,18:05:00,"""LMAOOO WTF""","N/A","Overwatch","None","Richard","Kiriko icon, Midtown, lvl 3 endorsement, confirmed authenticity",2023,"Oct","Tue",18,"05","Hybrid"
"Midtown",320,"AJWHOSOVER",2023-10-14,13:37:00,""":(""","Ana","Overwatch","N/A","Richard","Ana player, midtown, with jay3",2023,"Oct","Sat",13,"37","Hybrid"
"Midtown",104,"Jaysonhell",2023-03-05,17:28:00,"""I like men""","Mercy","Overwatch","Genji's Peace","Richard","mercy player, pocketed me hard big carry",2023,"Mar","Sun",17,"28","Hybrid"
"Midtown",1201,"JayDeVil",2024-10-19,10:33:00,"""hi""","Lucio","Overwatch","Neogun","Richard","Skirmish",2024,"Oct","Sat",10,"33","Hybrid"
"Midtown",792,"JuicyJ",2024-03-21,18:25:00,"N/A","Reaper","Overwatch","Mercy's Angel","Seb","QP Lovey Dovey Genji icon Endorsement 4 Terrible Tornado - Kiriko namecard gold 1 Combined gold 3 Damage",2024,"Mar","Thu",18,"25","Hybrid"
"Midtown",133,"CJR9899",2023-04-02,14:02:00,"""im gay"" ""LOL""","Symmetra","Overwatch","Peasant","Richard","Sym on midtown, 2nd 2023-11-16, World Eater.",2023,"Apr","Sun",14,"02","Hybrid"
"Midtown",344,"JPTrady",2023-10-27,15:46:00,"""yes :D""","N/A","Overwatch","Hero of the Light","Richard","Midtown, Hero of the light, 2nd 2024-02-26",2023,"Oct","Fri",15,"46","Hybrid"
"Midtown",737,"bluejey",2024-02-18,08:50:00,"""ur scarty scary"" ""omg im ur scary""","Moira","Overwatch","Druid","Richard","Sighting 2 same day on Colosseo, Sighting 3 2024-02-25",2024,"Feb","Sun",8,"50","Hybrid"
"Midtown",264,"BIGPOPPYJAY",2023-09-15,09:36:00,NA,"Sombra","Overwatch","None","Vixx","Sombra Midtown, she was just hung up on hacking me instead",2023,"Sep","Fri",9,"36","Hybrid"
"Midtown",550,"AjWhosOver",2023-12-23,19:00:00,"""Yeah""","Baptiste","Overwatch"," vc","verdantJay","",2023,"Dec","Sat",19,"00","Hybrid"
"Midtown",1117,"cjpkent",2024-09-10,11:54:00,"N/A","Lúcio,Ana, Mercy","Overwatch","Gold Support","Vixx","Tbagger Jay QP Gay Pride icon Mercy - Tier 3 namecard",2024,"Sep","Tue",11,"54","Hybrid"
"Midtown",190,"JAYKU",2023-05-25,12:38:00,"""c9999999""","Soldier","Overwatch","Neogun","Vixx","said a slur, 2nd sighting 2024-02-07",2023,"May","Thu",12,"38","Hybrid"
"Midtown",231,"Jpro",2023-07-06,17:03:00,"""GO OFFENSE TEAM!!!!""","N/A","Overwatch","N/A","Richard","Midtown spectator, 2nd 2023-08-05",2023,"Jul","Thu",17,"03","Hybrid"
"Midtown",1211,"ojc31",2024-11-03,15:37:00,"""no???""","Widowmaker","Overwatch","Star Pilot","Richard","Skirmish",2024,"Nov","Sun",15,"37","Hybrid"
"Midtown",855,"Jayson",2024-04-28,10:54:00,"N/A","Widowmaker, Bastion","Overwatch","Hero of the Light","Seb","Mirrorwatch Sniper icon Endorsement 3 Amaterasu namecard private profile",2024,"Apr","Sun",10,"54","Hybrid"
"Midtown",1175,"Jlim",2024-09-23,17:24:00,"""hey hey""","N/A","Overwatch","Argonaut","Richard","Competitive open queue",2024,"Sep","Mon",17,"24","Hybrid"
"Midtown",277,"JWOOL412",2023-09-22,16:18:00,NA,"N/A","Overwatch","None","Richard","Midtown, no nametag",2023,"Sep","Fri",16,"18","Hybrid"
"Midtown",192,"DETERMINISTJ",2023-05-25,15:27:00,NA,"Kiriko","Overwatch","Peasant","Vixx","Kiriko player",2023,"May","Thu",15,"27","Hybrid"
"Necropolis",354,"JAYPEG",2023-10-30,16:47:00,NA,"Soldier","Overwatch","N/A","Richard","Custom game",2023,"Oct","Mon",16,"47","Other"
"Necropolis",911,"JF99",2024-06-09,08:37:00,"""gg""","Junker Queen, Sigma","Overwatch","N/A","Seb","Team Deathmatch Winter Wonderland 2022 icon Endrosement 5 Blooming Lotus namecard private profile",2024,"Jun","Sun",8,"37","Other"
"Nepal",1019,"JRB27",2024-08-04,05:38:00,"""thanks""","Orisa, Wrecking Ball","Overwatch","Scholar","Richard","Silent bastard Jay QP NUMBA ONE THOUSAND BABY WE MADE IT, 2nd 2024-08-31 Blizzard World",2024,"Aug","Sun",5,"38","Control"
"Nepal",390,"JayMo",2023-11-16,03:50:00,"""i guess he regretted playing this gam"" ""xD""","Soldier","Overwatch","World Eater","Seb","World Eater, Soldier, Nepal",2023,"Nov","Thu",3,"50","Control"
"Nepal",197,"JAYREY007",2023-05-29,16:18:00,NA,"Soldier","Overwatch","None","Richard","Soldier player",2023,"May","Mon",16,"18","Control"
"Nepal",200,"VIBINJ",2023-06-01,15:32:00,NA,"Kiriko","Overwatch","None","Vixx","Server closed randomly",2023,"Jun","Thu",15,"32","Control"
"Nepal",347,"nitsuj",2023-10-27,17:21:00,"""Im a Jay""/""oh boy""","Tracer","Overwatch","N/A","Vixx","ORIGINAL: 2023-10-07; On 2023-10-27: Gaslighted this dude into thinking he's a Jay variant. Friends with mesodarkskin -- needs to send me his birth certificate, 2023-11-08, 2023-11-09, 2024-02-09",2023,"Oct","Fri",17,"21","Control"
"Nepal",122,"DJS",2023-03-23,15:47:00,NA,"N/A","Overwatch","None","Richard","Comp Nepal",2023,"Mar","Thu",15,"47","Control"
"Nepal",238,"JGdude1",2023-07-22,08:39:00,"""howdy""","Junker Queen","Overwatch","Philosopher","Richard","Junkerqueen on Queen st, Philosopher, 2nd 2023-11-18, 3rd 2023-11-22; Treasure Goblin",2023,"Jul","Sat",8,"39","Control"
"Nepal",1218,"Jbourno",2024-11-08,15:35:00,"N/A","Cassidy","Overwatch","None","Richard","Custom game",2024,"Nov","Fri",15,"35","Control"
"Nepal",1070,"Hayabusa2JZ",2024-08-19,11:56:00,"N/A","Wrecking Ball, Doomfist","Overwatch","Final Boss","Seb","QP Submarine icon Endorsement 5 Junkertown Ninja namecard private profile",2024,"Aug","Mon",11,"56","Control"
"Nepal",283,"JWars43",2023-09-27,16:02:00,"""Manners maketh man"" ""I am so confused how did you find manners maketh man?""","N/A","Overwatch","Philosopher","Basileus","Nepal Philosopher, 2nd sighting 2024-04-16 Midtown QP, 3rd 2024-07-19",2023,"Sep","Wed",16,"02","Control"
"Nepal",760,"jrg7777",2024-02-29,13:35:00,"""?""","Moira","Overwatch","Paladin","Richard","Comp",2024,"Feb","Thu",13,"35","Control"
"Nepal",1021,"XPlayer101J",2024-08-05,08:55:00,"N/A","Junkrat, Pharah","Overwatch","Scholar","Seb","QP Winter Wonderland 2022 icon Endorsement 2 Mari Friends namecard private profile",2024,"Aug","Mon",8,"55","Control"
"Nepal",417,"DirtyJay",2023-11-22,04:04:00,"""I LOVE YOU""","N/A","Overwatch","Stalwart Hero","Seb","Tank, Nepal, Stalwart hero",2023,"Nov","Wed",4,"04","Control"
"Nepal",968,"DjGreenGuy",2024-07-04,04:13:00,"N/A","Mercy","Overwatch","N/A","Seb","Mercy Parkour (difficult) Custom Overwatch Dark icon Endorsement 2 private profile",2024,"Jul","Thu",4,"13","Control"
"Nepal",1214,"Kn0xyJ",2024-11-04,15:21:00,"N/A","Bastion","Overwatch","Bog Witch","Richard","Skirmish",2024,"Nov","Mon",15,"21","Control"
"Nepal",997,"jtb33z",2024-07-21,17:32:00,"N/A","Sombra","Overwatch","Nomad","Seb","Queue Skirmish Sombra Endorsement 2 private profile",2024,"Jul","Sun",17,"32","Control"
"Nepal",1119,"MaddoJay",2024-09-10,14:50:00,"""no"" ""wink"" ""it wasnt"" ""JAYDEX THIS"" ""JAYS BE LIKE GO JAYS""","Juno","Overwatch","None","Seb","Sore winner Jay QP Victorian Hat icon Endorsement 2 Strawberry Shortcake namecard private profile",2024,"Sep","Tue",14,"50","Control"
"Nepal",232,"JJWATTAGEE",2023-07-08,11:15:00,NA,"N/A","Overwatch","Stalwart Hero","Richard","Nepal Stalwart hero",2023,"Jul","Sat",11,"15","Control"
"Nepal Village",535,"Jmoo232",2023-12-19,11:59:00,"N/A","Mei","Overwatch","Streetrunner","Seb","Yeti Hunter",2023,"Dec","Tue",11,"59","Other"
"Nepal Village",807,"jdpro5659",2024-03-29,06:18:00,"N/A","Mei","Overwatch","Conqueror","Seb","1 Dad 11 Kids Custom Cute Genji icon Endorsement 3 Strawberry Shortcake namecard private profile",2024,"Mar","Fri",6,"18","Other"
"Nepal Village",897,"jaysenbolts",2024-05-30,04:44:00,"N/A","Venture","Overwatch","Talon Operative","Seb","1 Dad 11 Kids Custom Coinín Nollag icon Endorsement 3 Mitzi and Friends namecard private profile",2024,"May","Thu",4,"44","Other"
"New Junk City",719,"JS2",2024-02-08,10:07:00,"N/A","Sojourn","Overwatch","Disciple","Josiad","SPELLING UNCLEAR Archives 2018 icon Endorsement 1 Inextinguishable namecard Sojourn main",2024,"Feb","Thu",10,"07","Flashpoint"
"New Junk City",932,"jberts13",2024-06-14,14:13:00,"N/A","Zarya","Overwatch","Neogun","Vixx","Comp",2024,"Jun","Fri",14,"13","Flashpoint"
"New Junk City",637,"SUBPORTBOTJ",2024-01-13,13:49:00,"N/A","Ana, Brgitte","Overwatch","Diamond Role Challenger","Josiad","Bug Hero icon Enorsement 3 Bug Hero namecard diamond 3 combined plat 4 tank damage diamond 5 support/Respotted 2024-01-27 King's Row QP",2024,"Jan","Sat",13,"49","Flashpoint"
"New Junk City",1088,"jdmerritt",2024-08-30,19:18:00,"N/A","Moira","Overwatch","None","Seb","Comp Founder icon Endorsement 3 Dorothy's Adventure namecard private profile",2024,"Aug","Fri",19,"18","Flashpoint"
"New Junk City",699,"JaeRockz",2024-02-01,18:06:00,"""love those thigns""","Junkrat, Reaper","Overwatch","Stalwart Hero","Seb","Rock enjoyer Jae no profile",2024,"Feb","Thu",18,"06","Flashpoint"
"New Junk City",996,"JayPlayboii",2024-07-21,17:22:00,"""damage damage damage""","Zenyatta","Overwatch","Angel of Vengeance","Richard","QP",2024,"Jul","Sun",17,"22","Flashpoint"
"New Junk City",301,"JayKay",2023-10-05,06:30:00,NA,"Mercy","Overwatch","None","Seb","New Junk City, no name tag",2023,"Oct","Thu",6,"30","Flashpoint"
"New Junk City",427,"BigJ5",2023-11-23,20:26:00,"""?""","N/A","Overwatch","Butcher","Basileus","New junk city, Butcher, special character username, 2nd 2024-03-18 Colosseo",2023,"Nov","Thu",20,"26","Flashpoint"
"New Junk City",1157,"CJFox",2024-09-19,11:52:00,"""tank is mad"" ""bro what are you on lmao"" ""bro talking to the wind"" ""bro what are you even talking about lmao"" ""gg tank canyon""","Illari","Overwatch","Mischievous Fox","Vixx","He was kinda toxic",2024,"Sep","Thu",11,"52","Flashpoint"
"New Junk City",1009,"Ajay",2024-08-01,09:00:00,"""? the what ??"" ""pharah threw""","Zarya","Overwatch","Medic","Seb","New Ajay Jay QP icon Endorsement 5 namecard private profile",2024,"Aug","Thu",9,"00","Flashpoint"
"New Junk City",338,"jflux",2023-10-24,17:26:00,"""to be or not to be""","N/A","Overwatch","Graverobber","Richard","New Junk City, grave robber, respot 09/16/2024",2023,"Oct","Tue",17,"26","Flashpoint"
"New Junk City",1020,"Jaerixion",2024-08-04,06:41:00,"N/A","Pharah, Ashe","Overwatch","Stalwart Hero","Seb","OWWC USA icon Endorsement 3 Slime Caves namecard private profile",2024,"Aug","Sun",6,"41","Flashpoint"
"New Junk City",415,"JKBreesy",2023-11-21,17:58:00,"""i'm big doom don't drop the soap""","Doomfist","Overwatch","Graverobber","Seb","New Junk City Skirmish",2023,"Nov","Tue",17,"58","Flashpoint"
"New Junk City",598,"JShot",2024-01-02,04:47:00,"""gg""","Sojourn, Rammatra, Winston, Mercy, Symmetra, Zenyatta, Moira","Overwatch","Disciple","Seb","Mystery Heroes",2024,"Jan","Tue",4,"47","Flashpoint"
"New Junk City",868,"JPOK ",2024-05-05,12:11:00,"N/A","Rammatra","Overwatch","Disciple","Seb","Skirmish",2024,"May","Sun",12,"11","Flashpoint"
"New Junk City",1049,"JBird",2024-08-12,12:26:00,"N/A","Tracer","Overwatch","Nemesis","Richard","QP Spring Hammond icon Endorsement 2 Ganymede's Meadow namecard private profile",2024,"Aug","Mon",12,"26","Flashpoint"
"New Junk City",544,"ejsonGG",2023-12-20,17:59:00,"""no?""","Moira","Overwatch","Medic","verdantJay","",2023,"Dec","Wed",17,"59","Flashpoint"
"New Junk City",378,"MANGOJT",2023-11-13,13:19:00,NA,"Widowmaker","Overwatch","Archmage","Seb","Archmage, skirmish",2023,"Nov","Mon",13,"19","Flashpoint"
"New Junk City",876,"Agentaj77",2024-05-17,15:08:00,"""huh""","Venture","Overwatch","N/A","Richard","NOT AgentAJ QP NB Flag icon Endorsement 3 NB Pride namecard DPS main 2nd 2024-05-17 Numbani",2024,"May","Fri",15,"08","Flashpoint"
"New Junk City",933,"pro123j",2024-06-14,14:13:00,"N/A","Venture","Overwatch","N/A","Vixx","Comp same game as previous Jay",2024,"Jun","Fri",14,"13","Flashpoint"
"New Junk City",844,"pjjk1234",2024-04-20,06:31:00,"""and 420 chill""","Genji","Overwatch","Nomad","Seb","QP You Are Not Prepared icon Endorsement 4 private profile",2024,"Apr","Sat",6,"31","Flashpoint"
"New Junk City",356,"MASSOJPG",2023-11-01,09:59:00,"""anything you want ;)""","N/A","Overwatch","Trickster","Seb","New Junk City, Trickster",2023,"Nov","Wed",9,"59","Flashpoint"
"New Junk City",377,"JBO2002",2023-11-13,12:56:00,"""yuh""","N/A","Overwatch","Nomad","Richard","Nomad, DPS, New Junk City",2023,"Nov","Mon",12,"56","Flashpoint"
"New Junk City",1221,"TJ26",2024-11-14,16:32:00,"""My name""","Sojourn","Overwatch","Retro Hero","Seb","Mystery heroes",2024,"Nov","Thu",16,"32","Flashpoint"
"New Junk City",300,"JBOMBS",2023-10-05,06:26:00,"""JBOMBS YOU""","N/A","Overwatch","Extraterrestrial","Seb","New Junk City, Extraterrestrial",2023,"Oct","Thu",6,"26","Flashpoint"
"New Queen Street",718,"CJruthy",2024-02-07,13:40:00,"N/A","Kiriko","Overwatch","Bastet","Richard","Comp, 2nd sighting 2024-04-14 QP Colosseo, 3rd 2024-05-03 QP Dorado",2024,"Feb","Wed",13,"40","Push"
"New Queen Street",951,"EjDaDood",2024-06-22,16:51:00,"N/A","Sojourn","Overwatch","N/A","Vixx","QP",2024,"Jun","Sat",16,"51","Push"
"New Queen Street",1043,"jaytdogzone",2024-08-11,16:14:00,"N/A","Reinhardt","Overwatch","None","Seb","QP Goldhardt icon Endorsement 3 Bap main",2024,"Aug","Sun",16,"14","Push"
"New Queen Street",164,"Jzac",2023-05-10,09:04:00,NA,"Rammatra","Overwatch","None","Seb","Tank on New Queen St",2023,"May","Wed",9,"04","Push"
"New Queen Street",984,"Jay123",2024-07-14,10:22:00,"N/A","Lifeweaver","Overwatch","N/A","Seb","Queue Skirmish The Witch icon Endorsement 4 Nightfall Over Adlersbrunn namecard private profile",2024,"Jul","Sun",10,"22","Push"
"New Queen Street",1001,"JJDAWG",2024-07-23,17:26:00,"N/A","Hanzo","Overwatch","N/A","Seb","Queue Skirmish Port-de-Paix icon Endorsement 4 Harbinger namecard private profile",2024,"Jul","Tue",17,"26","Push"
"New Queen Street",134,"Jai",2023-04-03,08:09:00,"""yeah lik jay""","N/A","Overwatch","Neogun","Richard","New Queen St, 2nd 20240915",2023,"Apr","Mon",8,"09","Push"
"New Queen Street",89,"SeaJay",2023-01-18,19:31:00,NA,"N/A","Overwatch","Demigod","Asheya","Left the game, shit internet, possible 2nd 2023-10-21",2023,"Jan","Wed",19,"31","Push"
"New Queen Street",163,"JJSKY",2023-05-10,16:29:00,NA,"N/A","Overwatch","Herald of Hermes","Richard","New Queen St, 2nd sighting 20240526 Gibraltar",2023,"May","Wed",16,"29","Push"
"New Queen Street",515,"JAYWHIPSYOU",2023-12-15,10:24:00,"""only on weekends ;)""","Doomfist","Overwatch","Stalwart Hero","Seb","New Queen St custom game, Stalwart hero, doomfist",2023,"Dec","Fri",10,"24","Push"
"New Queen Street",890,"jjohnknee",2024-05-27,12:36:00,"N/A","Mercy","Overwatch","N/A","Seb","QP Laurel Wreath icon Endorsement 3 private profile",2024,"May","Mon",12,"36","Push"
"New Queen Street",404,"CJLionz",2023-11-20,04:02:00,"""fox""","Pharah","Overwatch","Adventurer","Seb","Adventurer, skirmish, New Queen St",2023,"Nov","Mon",4,"02","Push"
"New Queen Street",368,"JAYTOWN",2023-11-07,12:14:00,NA,"Soldier","Overwatch","Grandmaster Role Challenger","Basileus","Midtown, Grandmaster role challenger",2023,"Nov","Tue",12,"14","Push"
"New Queen Street",740,"jaycanvibe",2024-02-19,15:20:00,"""ggwp""","Cassidy","Overwatch","N/A","Mac","Got POTG",2024,"Feb","Mon",15,"20","Push"
"New Queen Street",761,"JNX",2024-02-29,16:05:00,"""??""","Junker Queen","Overwatch","Hero of the Light","Richard","Comp",2024,"Feb","Thu",16,"05","Push"
"New Queen Street",1131,"Jaelert",2024-09-14,17:59:00,"""pardon"" ""WHAT???""","Juno","Overwatch","Kaiju","Richard","Skirmish",2024,"Sep","Sat",17,"59","Push"
"New Queen Street",280,"AuJswizzle",2023-09-25,16:01:00,"""anything not auschwizzle""","N/A","Overwatch","Diamond Role Challenger","Seb","New Queen St, Diamond Role Challenger",2023,"Sep","Mon",16,"01","Push"
"New Queen Street",401,"TEEJAE",2023-11-19,13:40:00,NA,"Sojourn","Overwatch","N/A","Richard","Moza's gf's game",2023,"Nov","Sun",13,"40","Push"
"New Queen Street",254,"JAY",2023-09-03,19:48:00,NA,"Widowmaker","Overwatch","None","Richard","Did not respond to the jay survey, no player title",2023,"Sep","Sun",19,"48","Push"
"New Queen Street",177,"TheSpideyJay",2023-05-16,16:23:00,"""kiss me""","Junker Queen","Overwatch","Peasant","Richard","went 44-4 as jq on new queen st",2023,"May","Tue",16,"23","Push"
"New Queen Street",831,"NITSUJ",2024-04-11,14:29:00,"N/A","Genji","Overwatch","N/A","Vixx","Not NitsuJ Role Comp Halloween Terror 2023 icon Cyber Demon namecard",2024,"Apr","Thu",14,"29","Push"
"New Queen Street",330,"THEGREATJAY",2023-10-20,13:41:00,NA,"N/A","Overwatch","Neogun","Sqweryl","Neogun, DPS, New Queen St",2023,"Oct","Fri",13,"41","Push"
"New Queen Street",846,"jk7784",2024-04-21,04:58:00,"N/A","Mauga","Overwatch","N/A","Seb","Queue Skirmish Happy Squid icon Endorsement 3 Sky Centurion namecard",2024,"Apr","Sun",4,"58","Push"
"Numbani",875,"Jayfoxifis",2024-05-16,06:55:00,"N/A","Zarya","Overwatch","Officer","Seb","Queue Skirmish Ghostly Bride icon Endorsement 3 Mirrorwatch Villains namecard private profile",2024,"May","Thu",6,"55","Hybrid"
"Numbani",229,"JXRDY",2023-07-04,14:21:00,"""hi :)""","Mercy","Overwatch","N/A","Richard","Mercy on Numbani",2023,"Jul","Tue",14,"21","Hybrid"
"Numbani",212,"BurgerJCC",2023-06-12,16:51:00,NA,"N/A","Overwatch","Extraterrestrial","Vixx","Extraterrestrial tag",2023,"Jun","Mon",16,"51","Hybrid"
"Numbani",836,"JJJZISO",2024-04-15,05:39:00,"N/A","Zen","Overwatch","N/A","Vixx","Role QP ",2024,"Apr","Mon",5,"39","Hybrid"
"Numbani",172,"MRJZMCFLY",2023-05-14,17:39:00,NA,"N/A","Overwatch","None","Vixx","rolled us",2023,"May","Sun",17,"39","Hybrid"
"Numbani",161,"ITZJAY",2023-05-08,12:01:00,NA,"N/A","Overwatch","None","Richard","N/A",2023,"May","Mon",12,"01","Hybrid"
"Numbani",780,"jpcell",2024-03-14,06:27:00,"""Suge Night is a good music exec"" ""he gives all of his rappers his best shot""","Brigitte, Lifeweaver, Orisa","Overwatch","Stalwart Hero","Seb","MH Respotted next game Have Fish icon Endorsement 4 private profile",2024,"Mar","Thu",6,"27","Hybrid"
"Numbani",690,"AustinJ",2024-01-31,09:11:00,"""ouch""","Doomfist","Overwatch","N/A","Seb","QP Reaper icon Endorsement 3 Aquatic Beast namecard gold 5 Combined Tank silver 1 Damage silver 2 Support",2024,"Jan","Wed",9,"11","Hybrid"
"Numbani",129,"JJ8",2023-03-26,11:23:00,NA,"Winston","Overwatch","N/A","Richard","Winston on Numbani",2023,"Mar","Sun",11,"23","Hybrid"
